code	naicsName	shortName
11	Agriculture, Forestry, Fishing and Hunting	Agriculture
21	Mining, Quarrying, and Oil and Gas Extraction	Mining
22	Utilities	Utilities
23	Construction	Construction
42	Wholesale Trade	Wholesale
51	Information	Information
52	Finance and Insurance	Finance
53	Real Estate and Rental and Leasing	RealEstate
54	Professional, Scientific, and Technical Services	ProfessionalServices
55	Management of Companies and Enterprises	Management
56	Administrative and Support and Waste Management and Remediation Services	AdminServices
61	Educational Services	Education
62	Health Care and Social Assistance	Healthcare
71	Arts, Entertainment, and Recreation	Entertainment
72	Accommodation and Food Services	Hospitality
81	Other Services (except Public Administration)	Services
92	Public Administration	Government
