code	naicsName	shortName
1111	Oilseed and Grain Farming	OilseedGrain
1112	Vegetable and Melon Farming	VegetableMelon
1113	Fruit and Tree Nut Farming	FruitTree
1114	Greenhouse, Nursery, and Floriculture Production	Greenhouse
1119	Other Crop Farming	Crop
1121	Cattle Ranching and Farming	CattleRanching
1122	Hog and Pig Farming	HogPig
1123	Poultry and Egg Production	PoultryEgg
1124	Sheep and Goat Farming	SheepGoat
1125	Aquaculture	Aquaculture
1129	Other Animal Production	Animal
1131	Timber Tract Operations	TimberTract
1132	Forest Nurseries and Gathering of Forest Products	ForestNurseries
1133	Logging	Logging
1141	Fishing	Fishing
1142	Hunting and Trapping	HuntingTrapping
1151	Support Activities for Crop Production	SupportActivities
1152	Support Activities for Animal Production	SupportActivities
1153	Support Activities for Forestry	SupportActivities
2111	Oil and Gas Extraction	OilGas
2121	Coal Mining	Coal
2122	Metal Ore Mining	MetalOre
2123	Nonmetallic Mineral Mining and Quarrying	NonmetallicMineral
2131	Support Activities for Mining	SupportActivities
2211	Electric Power Generation, Transmission and Distribution	ElectricPower
2212	Natural Gas Distribution	NaturalGas
2213	Water, Sewage and Other Systems	Water
2361	Residential Building Construction	ResidentialBuilding
2362	Nonresidential Building Construction	NonresidentialBuilding
2371	Utility System Construction	UtilitySystem
2372	Land Subdivision	LandSubdivision
2373	Highway, Street, and Bridge Construction	Highway
2379	Other Heavy and Civil Engineering Construction	HeavyCivil
2381	Foundation, Structure, and Building Exterior Contractors	Foundation
2382	Building Equipment Contractors	BuildingEquipment
2383	Building Finishing Contractors	BuildingFinishing
2389	Other Specialty Trade Contractors	SpecialtyTrade
3111	Animal Food Manufacturing	AnimalFood
3112	Grain and Oilseed Milling	GrainOilseed
3113	Sugar and Confectionery Product Manufacturing	SugarConfectionery
3114	Fruit and Vegetable Preserving and Specialty Food Manufacturing	FruitVegetable
3115	Dairy Product Manufacturing	DairyProduct
3116	Animal Slaughtering and Processing	AnimalSlaughtering
3117	Seafood Product Preparation and Packaging	SeafoodProduct
3118	Bakeries and Tortilla Manufacturing	BakeriesTortilla
3119	Other Food Manufacturing	Food
3121	Beverage Manufacturing	Beverage
3122	Tobacco Manufacturing	Tobacco
3131	Fiber, Yarn, and Thread Mills	Fiber
3132	Fabric Mills	FabricMills
3133	Textile and Fabric Finishing and Fabric Coating Mills	TextileFabric
3141	Textile Furnishings Mills	TextileFurnishings
