code	name	shortFileName	action	object
111110	Soybean Farming	Soybean	Farm	Soybean
111120	Oilseed (except Soybean) Farming	Oilseed	Farm	Oilseed
111130	Dry Pea and Bean Farming	DryPea	Farm	Dry Pea
111140	Wheat Farming	Wheat	Farm	Wheat
111150	Corn Farming	Corn	Farm	Corn
111160	Rice Farming	Rice	Farm	Rice
111191	Oilseed and Grain Combination Farming	OilseedGrain	Farm	Oilseed Grain
111199	All Other Grain Farming	Grain	Farm	Grain
111211	Potato Farming	Potato	Grow	Potato
111219	Other Vegetable (except Potato) and Melon Farming	VegetableMelon	Grow	Vegetable Melon
111310	Orange Groves	OrangeGroves	Grow	Orange Groves
111320	Citrus (except Orange) Groves	CitrusGroves	Grow	Citrus Groves
111331	Apple Orchards	AppleOrchards	Grow	Apple Orchards
111332	Grape Vineyards	GrapeVineyards	Grow	Grape Vineyards
111333	Strawberry Farming	Strawberry	Grow	Strawberry
111334	Berry (except Strawberry) Farming	Berry	Grow	Berry
111335	Tree Nut Farming	TreeNut	Grow	Tree Nut
111336	Fruit and Tree Nut Combination Farming	FruitTree	Grow	Fruit Tree
111339	Other Noncitrus Fruit Farming	NoncitrusFruit	Grow	Noncitrus Fruit
111411	Mushroom Production	Mushroom	Grow	Mushroom
111419	Other Food Crops Grown Under Cover	FoodCrops	Grow	Food Crops
111421	Nursery and Tree Production	NurseryTree	Grow	Nursery Tree
111422	Floriculture Production	Floriculture	Grow	Floriculture
111910	Tobacco Farming	Tobacco	Farm	Tobacco
111920	Cotton Farming	Cotton	Farm	Cotton
111930	Sugarcane Farming	Sugarcane	Farm	Sugarcane
111940	Hay Farming	Hay	Farm	Hay
111991	Sugar Beet Farming	SugarBeet	Farm	Sugar Beet
111992	Peanut Farming	Peanut	Farm	Peanut
111998	All Other Miscellaneous Crop Farming	Crop	Farm	Crop
112111	Beef Cattle Ranching and Farming	BeefCattle	Raise	Beef Cattle
112112	Cattle Feedlots	CattleFeedlots	Raise	Cattle Feedlots
112120	Dairy Cattle and Milk Production	DairyCattle	Raise	Dairy Cattle
112130	Dual-Purpose Cattle Ranching and Farming	Dual-PurposeCattle	Raise	Dual-Purpose Cattle
112210	Hog and Pig Farming	HogPig	Raise	Hog Pig
112310	Chicken Egg Production	ChickenEgg	Raise	Chicken Egg
112320	Broilers and Other Meat Type Chicken Production	Broilers	Raise	Broilers
112330	Turkey Production	Turkey	Raise	Turkey
112340	Poultry Hatcheries	PoultryHatcheries	Raise	Poultry Hatcheries
112390	Other Poultry Production	Poultry	Raise	Poultry
112410	Sheep Farming	Sheep	Raise	Sheep
112420	Goat Farming	Goat	Raise	Goat
112511	Finfish Farming and Fish Hatcheries	FinfishFarming	Raise	Finfish Farming
112512	Shellfish Farming	Shellfish	Raise	Shellfish
112519	Other Aquaculture	Aquaculture	Raise	Aquaculture
112910	Apiculture	Apiculture	Raise	Apiculture
112920	Horses and Other Equine Production	Horses	Raise	Horses
112930	Fur-Bearing Animal and Rabbit Production	Fur-BearingAnimal	Raise	Fur-Bearing Animal
112990	All Other Animal Production	Animal	Raise	Animal
113110	Timber Tract Operations	TimberTract	Manage	Timber Tract
113210	Forest Nurseries and Gathering of Forest Products	ForestNurseries	Harvest	Forest Nurseries
113310	Logging	Logging	Log	Logging
114111	Finfish Fishing	FinfishFishing	Catch	Finfish Fishing
114112	Shellfish Fishing	ShellfishFishing	Catch	Shellfish Fishing
114119	Other Marine Fishing	MarineFishing	Catch	Marine Fishing
114210	Hunting and Trapping	HuntingTrapping	Hunt	Hunting Trapping
115111	Cotton Ginning	CottonGinning	Farm	Cotton Ginning
115112	Soil Preparation, Planting, and Cultivating	SoilPreparation	Farm	Soil Preparation
115113	Crop Harvesting, Primarily by Machine	CropHarvesting	Farm	Crop Harvesting
115114	Postharvest Crop Activities (except Cotton Ginning)	PostharvestCrop	Farm	Postharvest Crop
115115	Farm Labor Contractors and Crew Leaders	FarmLabor	Farm	Farm Labor
115116	Farm Management Services	FarmManagement	Farm	Farm Management
115210	Support Activities for Animal Production	SupportActivities	Farm	Support Activities
115310	Support Activities for Forestry	SupportActivities	Farm	Support Activities
211120	Crude Petroleum Extraction	CrudePetroleum	Extract	Crude Petroleum
211130	Natural Gas Extraction	NaturalGas	Extract	Natural Gas
212114	Surface Coal Mining	SurfaceCoal	Mine	Surface Coal
212115	Underground Coal Mining	UndergroundCoal	Mine	Underground Coal
212210	Iron Ore Mining	IronOre	Mine	Iron Ore
212220	Gold Ore and Silver Ore Mining	GoldOre	Mine	Gold Ore
212230	Copper, Nickel, Lead, and Zinc Mining	Copper	Mine	Copper
212290	Other Metal Ore Mining	MetalOre	Mine	Metal Ore
212311	Dimension Stone Mining and Quarrying	DimensionStone	Quarry	Dimension Stone
