code	currentName	shortName	sector
111	CropProduction	Crops	Agriculture
112	AnimalProductionAndAquaculture	Livestock	Agriculture
113	ForestryAndLogging	Forestry	Agriculture
114	FishingHuntingAndTrapping	Fishing	Agriculture
115	SupportActivitiesForAgricultureAndForestry	Support	Agriculture
211	OilAndGasExtraction	OilGas	Mining
212	MiningExceptOilAndGas	Minerals	Mining
213	SupportActivitiesForMining	Support	Mining
221	Utilities	Utilities	Utilities
236	ConstructionOfBuildings	Buildings	Construction
237	HeavyAndCivilEngineeringConstruction	Infrastructure	Construction
238	SpecialtyTradeContractors	Trades	Construction
423	MerchantWholesalersDurableGoods	Durables	Wholesale
424	MerchantWholesalersNondurableGoods	Nondurables	Wholesale
425	WholesaleTradeAgentsAndBrokers	Brokers	Wholesale
512	MotionPictureAndSoundRecordingIndustries	Film	Media
513	PublishingIndustries	Publishing	Media
516	BroadcastingAndContentProviders	Broadcasting	Media
517	Telecommunications	Telecom	Media
518	ComputingInfrastructureProvidersDataProcessingWebHostingAndRelatedServices	Computing	Media
519	WebSearchPortalsLibrariesArchivesAndOtherInformationServices	WebServices	Media
521	MonetaryAuthoritiesCentralBank	CentralBank	Finance
522	CreditIntermediationAndRelatedActivities	Banking	Finance
523	SecuritiesCommodityContractsAndOtherFinancialInvestmentsAndRelatedActivities	Securities	Finance
524	InsuranceCarriersAndRelatedActivities	Insurance	Finance
525	FundsTrustsAndOtherFinancialVehicles	Funds	Finance
531	RealEstate	Property	RealEstate
532	RentalAndLeasingServices	Rental	RealEstate
533	LessorsOfNonfinancialIntangibleAssetsExceptCopyrightedWorks	Licensing	RealEstate
541	ProfessionalScientificAndTechnicalServices	Services	Professional
551	ManagementOfCompaniesAndEnterprises	Holdings	Management
561	AdministrativeAndSupportServices	Support	Admin
562	WasteManagementAndRemediationServices	Waste	Admin
611	EducationalServices	Schools	Education
621	AmbulatoryHealthCareServices	Outpatient	Healthcare
622	Hospitals	Hospitals	Healthcare
623	NursingAndResidentialCareFacilities	Nursing	Healthcare
624	SocialAssistance	Social	Healthcare
711	PerformingArtsSpectatorSportsAndRelatedIndustries	Arts	Entertainment
712	MuseumsHistoricalSitesAndSimilarInstitutions	Museums	Entertainment
713	AmusementGamblingAndRecreationIndustries	Recreation	Entertainment
721	Accommodation	Lodging	Hospitality
722	FoodServicesAndDrinkingPlaces	Dining	Hospitality
811	RepairAndMaintenance	Repair	Services
812	PersonalAndLaundryServices	Personal	Services
813	ReligiousGrantmakingCivicProfessionalAndSimilarOrganizations	Civic	Services
814	PrivateHouseholds	Households	Services
921	ExecutiveLegislativeAndOtherGeneralGovernmentSupport	Executive	Government
922	JusticePublicOrderAndSafetyActivities	Justice	Government
923	AdministrationOfHumanResourcePrograms	HumanServices	Government
924	AdministrationOfEnvironmentalQualityPrograms	Environment	Government
925	AdministrationOfHousingProgramsUrbanPlanningAndCommunityDevelopment	Housing	Government
926	AdministrationOfEconomicPrograms	Economic	Government
927	SpaceResearchAndTechnology	Space	Government
928	NationalSecurityAndInternationalAffairs	Defense	Government
