code	name	action	object
111	Live animals		
11111	Cattle and calves		
11112	Hogs		
11113	Poultry		
11114	Other live animals		
112	Wheat		
11211	Wheat		
113	Canola (including rapeseed)		
11311	Canola (including rapeseed)		
114	Fresh fruit, nuts and vegetables, and pulse crops		
11411	Fresh fruit and nuts		
11421	Fresh potatoes		
11422	Fresh vegetables (except potatoes and pulse crops)		
11431	Pulse crops (except soybeans)		
115	Other crop products		
11511	Grains (except wheat)		
11512	Oilseeds (except canola)		
11513	Other miscellaneous crop products		
11514	Floriculture and nursery products, and sod		
116	Other animal products		
11611	Eggs in shell		
11612	Unprocessed milk		
11613	Raw furskins, and animal products n.e.c.		
121	Fish, crustaceans, shellfish and other fishery products		
12111	Fish, crustaceans, shellfish and other fishery products		
131	Logs, pulpwood and other forestry products		
13111	Logs and bolts		
13112	Pulpwood		
13113	Rough untreated poles, posts and piling		
141	Crude oil and bitumen		
14111	Conventional crude oil		
14112	Crude and diluted bitumen		
14113	Synthetic crude oil		
142	Natural gas		
14211	Natural gas		
143	Natural gas liquids (including condensate) and related products		
14311	Natural gas liquids (including condensate) and related products		
144	Coal		
14411	Hard coal		
14412	Brown coal		
145	Nuclear fuel and other energy products		
14511	Nuclear fuel		
14512	Fuel wood and solid fuel products n.e.c.		
14513	Steam and heated or cooled air or water		
146	Electricity		
14611	Electricity		
147	Natural gas distribution		
14711	Natural gas distribution		
151	Iron ores and concentrates		
15111	Iron ores and concentrates		
152	Copper ores and concentrates		
15211	Copper ores and concentrates		
153	Nickel ores and concentrates		
15311	Nickel ores and concentrates		
154	Radioactive ores and concentrates		
15411	Radioactive ores and concentrates		
155	Other metal ores and concentrates		
15511	Gold, silver, and platinum group metal ores and concentrates		
15521	Bauxite and aluminum oxide		
15522	Lead and zinc ores and concentrates		
15523	Other metal ores and concentrates, n.e.c.		
156	Waste and scrap of metal		
15611	Waste and scrap of iron and steel		
15612	Waste and scrap of non-ferrous metals		
157	Waste and scrap of wood, wood by-products, paper and paperboard		
15711	Waste and scrap of wood and wood by-products		
15712	Waste and scrap of paper and paperboard		
158	Waste and scrap of plastic and rubber		
