code	name	action	object
15811	Waste and scrap of plastic and rubber		
159	Waste and scrap of glass		
15911	Waste and scrap of glass		
161	Potash		
16111	Potash		
162	Stone, sand, gravel, clay, and refractory minerals		
16211	Stone		
16212	Sand, gravel, clay, and refractory minerals		
163	Diamonds and other non-metallic minerals (except cut gemstones)		
16311	Uncut and industrial diamonds		
16312	Non-metallic minerals (except diamonds)		
171	Prepared and packaged seafood products		
17111	Prepared and packaged seafood products		
172	Meat products		
17211	Fresh and frozen beef and veal		
17212	Fresh and frozen pork		
17213	Fresh and frozen poultry of all types		
17214	Fresh and frozen lamb, mutton and goat meat		
17215	Processed meat products, other meats, and animal by-products		
173	Dairy products		
17311	Processed fluid milk and milk products		
17312	Butter, and dry and canned dairy products		
17313	Cheese and cheese products		
17314	Ice cream, sherbet and similar frozen desserts		
181	Animal feed		
18111	Dog and cat food		
18112	Other animal feed		
182	Intermediate food products		
18211	Margarine and cooking oils		
18212	Flour and other grain mill products		
18213	Grain and oilseed products, n.e.c.		
18214	Sugar and sugar mill by-products		
183	Other food products		
18311	Breakfast cereal and other cereal products		
18312	Flour mixes, dough and dry pasta		
18313	Bread, rolls and flatbreads		
18314	Cookies, crackers and baked sweet goods		
18321	Chocolate (except confectionery)		
18322	Confectionery products		
18331	Snack food products		
18341	Flavouring syrups and extracts		
18342	Vinegar, mayonnaise, non-tomato sauces, salt, spices and sauce mixes		
18351	Ketchup, canned tomato sauces, and preserved fruit and vegetables		
18352	Frozen foods, n.e.c.		
18361	Other food products, n.e.c.		
191	Coffee and tea		
19111	Coffee and tea		
192	Frozen, fresh and canned fruit and vegetable juices		
19211	Frozen, fresh and canned fruit and vegetable juices		
193	Carbonated and non-carbonated drinks (including low alcohol fermented drinks), bottled water and ice		
19311	Carbonated and non-carbonated drinks (including low alcohol fermented drinks), bottled water and ice		
211	Alcoholic beverages		
21111	Beer		
21112	Wine and brandy		
21113	Distilled liquor		
212	Tobacco products (including electronic cigarettes)		
21211	Cigarettes (including electronic cigarettes), cigars, chewing and smoking tobacco		
21212	Stemmed, redried or reconstituted tobacco		
213	Cannabis products		
21311	Cannabis seeds and vegetative plants		
21312	Fresh and dried cannabis flowering tops (including leaves)		
21313	Cannabis products (except seeds, plants, and plant parts)		
221	Fabric, fibre and yarn, and leather and dressed furs		
22111	Fabrics		
22112	Fibre, yarn, and thread (except artificial and synthetic fibres and filaments)		
22113	Leather and dressed furs		
231	Clothing, footwear and accessories		
23111	Men's clothing		
