code	name	action	object
23112	Women's clothing		
23113	Children's clothing		
23115	Non-binary and gender-neutral clothing; hosiery; vestments and costumes; and clothing accessories		
23122	Footwear		
23131	Suitcases, handbags, and other leather and allied products		
232	Carpets, textile furnishings and other textile products		
23211	Carpets, rugs and mats		
23212	Other textile furnishings		
23213	Textile products, n.e.c.		
241	Lumber and other sawmill products		
24111	Hardwood lumber (except tongue and groove and other edge worked lumber)		
24112	Softwood lumber (except tongue and groove and other edge worked lumber)		
24121	Wood trusses and engineered wood members		
24122	Reconstituted wood products		
24123	Veneer and plywood		
24124	Other sawmill products, and treated wood products		
251	Pulp and paper		
25111	Wood chips		
25112	Wood pulp		
25121	Newsprint		
25122	Paper (except newsprint)		
25123	Paperboard		
252	Converted paper products (except for packaging)		
25211	Paper office supplies		
25212	Printed products, n.e.c.		
25213	Disposable diapers and feminine hygiene products		
25214	Sanitary paper products		
25215	Other converted paper products (except for packaging)		
261	Refined petroleum energy products (including liquid biofuels)		
26111	Coke and other coke oven products		
26121	Motor gasoline (including blending components and ethanol fuel)		
26122	Diesel and biodiesel fuels		
26131	Aviation fuel		
26132	Light fuel oils		
26133	Heavy fuel oils		
262	Asphalt (except natural) and asphalt products		
26211	Asphalt (except natural) and asphalt products		
263	Dyes and pigments, and petrochemicals		
26311	Dyes and pigments		
26321	Petrochemicals		
264	Lubricants and other petroleum refinery products		
26411	Lubricants and other petroleum refinery products		
271	Basic chemicals		
27111	Industrial gases		
27112	Other basic inorganic chemicals		
27113	Basic organic chemicals, n.e.c.		
272	Fertilizers, pesticides and other chemical products		
27211	Ammonia and chemical fertilizers		
27212	Pesticides and other agricultural chemicals		
27213	Chemical products, n.e.c.		
273	Pharmaceutical and medicinal products		
27311	Pharmaceutical and medicinal products		
274	Cleaning products and toiletries		
27411	Soaps and cleaning compounds		
27412	Perfumes and toiletries		
281	Plastic resins		
28112	Thermoplastic resins, except biodegradable		
28113	Thermosetting resins, except biodegradable		
28114	Biodegradable plastic resins		
282	Plastic and rubber basic products not for packaging use (except plastic resins)		
28211	Rubber and rubber compounds and mixtures		
28221	Artificial and synthetic fibres and filaments		
28231	Plastic film and non-rigid sheets not for packaging use		
28232	Plastic profile shapes		
283	Tires		
28311	Tires		
284	Plastic and rubber finished products		
28411	Rubber and plastic hoses and belts		
