code	name	action	object
28412	Plastic products (except for packaging and construction), n.e.c.		
28413	Rubber products, n.e.c.		
28414	Foam products (except for packaging and construction), n.e.c.		
291	Non-metallic mineral products		
29111	Clay and ceramic products and refractories		
29112	Concrete products		
29113	Glass and glass products (except automotive glass and automotive mirrors)		
29114	Non-metallic mineral products, n.e.c.		
311	Unwrought iron, steel and ferro-alloys		
31111	Unwrought iron, steel and ferro-alloys		
312	Basic and semi-finished iron or steel products		
31211	Hot-rolled iron or steel products		
31212	Cold-rolled iron or steel products		
31213	Ferrous metal castings		
31214	Iron or steel pipes and tubes (except castings)		
321	Unwrought aluminum and aluminum alloys		
32111	Unwrought aluminum and aluminum alloys		
322	Unwrought copper and copper alloys		
32211	Unwrought copper and copper alloys		
323	Unwrought nickel and nickel alloys		
32311	Unwrought nickel and nickel alloys		
324	Unwrought gold, silver, and platinum group metals, and their alloys		
32412	Unwrought gold, silver, and platinum group metals, and their alloys		
325	Other unwrought non-ferrous metals and non-ferrous metal alloys		
32511	Other unwrought non-ferrous metals and non-ferrous metal alloys		
326	Basic and semi-finished products of non-ferrous metals and non-ferrous metal alloys (except aluminum)		
32611	Basic and semi-finished products of non-ferrous metals and non-ferrous metal alloys (except gold, silver, platinum group metals and aluminum)		
32612	Basic and semi-finished products of gold, silver, and platinum group metals, and their alloys		
327	Basic and semi-finished products of aluminum and aluminum alloys		
32711	Basic and semi-finished products of aluminum and aluminum alloys		
331	Agricultural, lawn and garden machinery and equipment		
33111	Agricultural, lawn and garden machinery and equipment		
332	Logging, construction, mining, and oil and gas field machinery and equipment		
33211	Logging, construction, mining, and oil and gas field machinery and equipment		
341	Metalworking machinery		
34111	Metalworking machinery		
342	Commercial and service industry machinery and equipment		
34211	Commercial and service industry machinery and equipment		
343	Other industry-specific manufacturing machinery, n.e.c.		
34311	Other industry-specific manufacturing machinery, n.e.c.		
344	Heating, cooling and air purification equipment		
34411	Heating and cooling equipment (except household refrigerators and freezers)		
34412	Industrial and commercial fans, blowers and air purification equipment		
345	Other general-purpose machinery and equipment, n.e.c.		
34511	Engines (except gasoline and diesel engines for motor vehicles, and aircraft engines)		
34512	Mechanical power transmission equipment		
34513	Ball and roller bearings		
34521	Turbines, turbine generators, and turbine generator sets (except aircraft turbines)		
34531	Boilers, metal tanks, industrial valves and seals		
34532	Pumps and compressors		
34533	Water treatment equipment		
34541	Heavy-gauge metal containers		
34542	Materials handling machinery and equipment		
34543	Other industrial machinery and equipment, n.e.c.		
34551	Industrial moulds, special dies, and patterns		
351	Parts of industrial machinery and equipment		
35111	Parts of agricultural, lawn and garden, logging, construction, mining and oil and gas field machinery and equipment		
35112	Parts of commercial and service industry machinery and equipment		
35113	Parts of machine tools, hand tools, water treatment equipment and industry-specific manufacturing machinery and equipment		
35114	Parts of industrial machinery and equipment, n.e.c.		
361	Computers and computer peripherals		
36111	Computers and computer peripherals		
362	Communication, and audio and video equipment		
36211	Telephone and data communications equipment		
36212	Broadcast, studio, alarm, and signalling equipment		
36213	Navigational and guidance instruments		
36221	Televisions and other audio and video equipment, and unrecorded media n.e.c.		
363	Medical, measuring, and other electronic and electrical machinery and equipment		
