code	name	action	object
36311	Electric motors and generators		
36312	Measuring, control, and scientific instruments		
36313	Medical and laboratory equipment		
371	Electronic and electrical parts		
37111	Printed and integrated circuits, semiconductors, and printed circuit assemblies		
37112	Other electronic components		
37121	Parts and accessories for appliances, electric lighting, and electric motors		
37131	Parts of computers and computer peripherals		
37141	Parts of electronic equipment, n.e.c.		
381	Electrical components		
38111	Electric light bulbs and tubes		
38121	Communication and electric wire and cable		
38122	Power, distribution and other transformers, and transformer parts		
38123	Switchgear, switchboards, relays, and industrial control apparatus		
38124	Wiring devices		
38125	Other electrical equipment and components		
382	Appliances		
38211	Small electric appliances		
38212	Major appliances		
391	Furniture and fixtures		
39111	Household furniture		
39112	Mattresses and foundations		
39114	Office furniture		
39115	Partitions, shelving, lockers and other fixtures		
39116	Wood furniture frames, and institutional and other furniture, n.e.c.		
39121	Blinds, shades, and curtain fixtures		
39131	Electric lamps, lighting fixtures, and parts (except bulbs and tubes)		
411	Passenger cars and light trucks		
41111	Passenger cars and chassis, without electric motor		
41112	Light-duty trucks, vans and sport utility vehicles (SUVs), without electric motor		
41113	Passenger cars with electric motor and hybrid engine		
41114	Light truck, vans and sport utility vehicles (SUVs) with electric motor and hybrid engine		
412	Medium and heavy trucks, buses, and other motor vehicles		
41211	Medium and heavy-duty trucks		
41212	Buses and special-purpose vehicles		
41213	Freight and utility trailers		
41221	Motor homes, travel trailers and camping trailers		
41231	Motor vehicle bodies		
413	Motor vehicle engines and motor vehicle parts		
41311	Motor vehicle gasoline engines and engine parts		
41312	Motor vehicle diesel engines and engine parts		
41321	Motor vehicle electrical and electronic equipment		
41331	Motor vehicle plastic parts		
41332	Automotive glass and automotive mirrors		
41341	Motor vehicle interior trim, seats and seat parts		
41351	Motor vehicle metal stampings		
41352	Motor vehicle steering and suspension components		
41353	Motor vehicle transmission and drive train components		
41354	Motor vehicle brakes and brake systems		
41355	Other motor vehicle parts		
421	Aircraft		
42111	Aircraft		
431	Aircraft engines, aircraft parts and other aerospace equipment		
43111	Aircraft engines		
43112	Aircraft parts and other aerospace equipment		
441	Ships, locomotives, railway rolling stock, and rapid transit equipment		
44111	Ships		
44112	Locomotives, railway rolling stock, and rapid transit equipment		
442	Boats and other transportation equipment		
44211	Personal watercraft, motorboats and other boats		
44212	Other transportation equipment		
451	Parts of railway rolling stock and of other transportation equipment		
45111	Parts of railway rolling stock		
45112	Parts of other transportation equipment		
462	Wood millwork, and wood products n.e.c.		
46211	Wood windows and doors		
46212	Wood cabinets and counter tops		
46213	Wood products, n.e.c.		
