code	name	action	object
463	Paints, coatings, and adhesive products		
46311	Paints, coatings and adhesive products		
464	Plastic and foam building and construction materials		
46411	Plastic and foam building and construction materials		
465	Cement, lime and gypsum products		
46511	Cement		
46512	Ready-mixed concrete		
46513	Lime and gypsum products		
466	Metal building and construction materials		
46611	Fabricated steel plate and other fabricated structural metal		
46612	Metal valves and pipe fittings (except industrial valves) and enamelled metal sanitary ware		
46613	Metal windows and doors		
46614	Other architectural metal products		
471	Prefabricated buildings and components thereof		
47111	Prefabricated metal buildings and other non-wood buildings, and components thereof		
47112	Prefabricated wood buildings and components thereof		
47113	Manufactured (mobile) buildings		
472	Fabricated metal products		
47211	Guns, ammunition and other munitions		
47221	Hardware		
47222	Threaded metal fasteners and other turned metal products		
47232	Springs and wire products		
47233	Forged and stamped metal products		
47234	Non-ferrous metal castings		
47235	Other fabricated metal products		
474	Packaging materials		
47411	Wood containers and pallets		
47412	Light-gauge metal containers, crowns and closures, and metal strapping and shipping materials		
47414	Plastic bags		
47415	Plastic bottles		
47416	Foam products for packaging, of polystyrene or polyurethane		
47417	Plastic packaging film and non-rigid sheets		
47418	Plastic packaging materials, n.e.c.		
47421	Paperboard containers		
47422	Converted paper packaging products		
47431	Glass containers		
475	Miscellaneous goods and supplies		
47511	Medical, dental and personal safety supplies		
47512	Signs		
47513	Caskets and other related funeral goods		
47521	Hand tools, kitchen utensils and cutlery (except precious metal)		
47522	Office supplies (except paper)		
47523	Batteries and battery chargers		
47531	Sporting and athletic goods		
47532	Toys and games		
47533	Jewellery, cut gems, jewellery findings, hollowware and flatware, and other articles of precious metal		
47534	Musical instruments		
47542	Other miscellaneous goods		
481	Published products and recorded media (except software)		
48111	Books		
48121	Newspapers		
48122	Periodicals		
48123	Other published products		
48131	Recorded music and other sound recordings		
48132	Recorded movies, television programs and videos		
482	Software and software licensing		
48211	System and programming software and software licensing		
48212	Game software and software licensing		
48213	General application software (except game software) and software licensing		
511	Transportation of commodities by pipeline		
51111	Transportation of natural gas by pipeline		
51112	Transportation of crude oil and other commodities by pipeline		
512	Freight transportation by road		
51211	Road transportation services for general freight		
51212	Road transportation services for specialized freight		
513	Other freight transportation services and air specialty services		
51311	Rail freight transportation services		
51321	Water freight transportation services		
