code	name	action	object
51331	Air freight transportation services		
51341	Moving services		
51351	Air specialty services		
514	Postal and courier services		
51411	Postal services		
51412	Courier, parcel, and local messenger and delivery services		
521	Passenger transportation services (including sightseeing)		
52111	Urban transit services		
52121	Taxi and limousine services		
52122	Interurban and rural bus passenger transportation services		
52123	School bus services		
52124	Other transit and passenger transportation services by road		
52131	Rail passenger transportation services		
52141	Water passenger transportation services		
52151	Air passenger transportation services		
52161	Scenic and sightseeing tour services		
531	Transportation support services		
53111	Road transportation support services		
53112	Motor vehicle maintenance and repair services		
53121	Rail transportation support, maintenance and repair services		
53131	Water transportation support, maintenance and repair services		
53141	Air transportation support services		
53142	Aircraft maintenance and repair services		
53151	Freight transportation arrangement and customs brokering services		
53152	Other transportation support services		
541	Warehousing and storage services		
54111	Grain storage		
54112	Warehousing and storage services (except grain storage)		
551	Wholesale services (except commissions)		
55111	Farm products at wholesale		
55112	Petroleum and petroleum products, at wholesale		
55113	Food, beverages, and tobacco products, at wholesale		
55114	Personal and household goods, at wholesale		
55115	Motor vehicles and motor vehicle parts and accessories, at wholesale		
55116	Building materials and supplies, at wholesale		
55117	Machinery, equipment and supplies, at wholesale		
55118	Intermediate products at wholesale		
55119	Other goods, n.e.c., at wholesale		
55121	Cannabis products, at wholesale		
552	Wholesale trade commissions		
55211	Wholesale trade commissions		
561	Retail services (except commissions)		
56111	Food and beverages at retail		
56113	Cannabis products, at retail		
56121	Clothing at retail		
56123	Jewellery and watches, luggage and briefcases, at retail		
56124	Footwear at retail		
56131	Home furniture, furnishings, housewares, appliances and electronics, at retail		
56141	Sporting and leisure products (except publications, audio and video recordings, and game software), at retail		
56142	Publications at retail		
56143	Audio and video recordings, and game software, at retail		
56151	Motor vehicles at retail		
56152	Recreational vehicles at retail		
56153	Motor vehicle parts, accessories and supplies, at retail		
56161	Automotive and household fuels, at retail		
56171	Home health products at retail		
56172	Infant care, personal and beauty products, at retail		
56181	Hardware, tools, and renovation and lawn and garden products, at retail		
56191	Miscellaneous products at retail		
562	Retail trade commissions		
56211	Retail trade commissions		
571	Repair and maintenance services (except for buildings and transportation equipment)		
57111	Repair and maintenance services (except for buildings and transportation equipment)		
581	Rental and leasing (except rental of real estate)		
58111	Rental and operating leasing services of motor vehicles		
58121	Rental and operating leasing services of computer equipment		
58122	Rental and operating leasing services of office furniture and equipment (except computer equipment)		
58131	Rental and operating leasing services of commercial and industrial machinery and equipment (except office equipment)		
