code	name	action	object
58141	Rental and operating leasing services of other goods		
621	Residential buildings		
62111	Residential buildings		
622	Non-residential buildings		
62211	Industrial buildings		
62212	Commercial buildings		
62213	Institutional buildings		
623	Civil engineering works		
62311	Highways, roads, streets, bridges and tunnels		
62312	Other land transportation civil engineering works		
62313	Marine engineering works		
62321	Oil and gas extraction sites and structures		
62322	Pipelines		
62323	Other oil and gas engineering works		
62331	Electric power engineering works		
62341	Communications networks		
62351	Waterworks engineering works		
62352	Sewage engineering works		
62361	Mining engineering works		
62362	Other civil engineering works		
631	Industrial intellectual property		
63111	Industrial intellectual property		
632	Originals protected by copyright		
63211	Software originals		
63221	Originals protected by copyright (except software)		
641	Oil and gas and mineral exploration		
64111	Oil and gas exploration		
64121	Mineral exploration		
642	Research and experimental development services		
64231	Research and experimental developmental services in natural sciences		
64232	Research and experimental developmental services in engineering and technology		
64233	Research and experimental developmental services in medical and health sciences		
64234	Research and experimental developmental services in agricultural and veterinary sciences		
64241	Research and experimental developmental services in social sciences		
64242	Research and experimental developmental services in humanities and the arts		
643	Custom software design and development services		
64311	Custom software design and development services		
651	Licensing of rights for commercial use of non-financial intangible assets (except products protected by copyright)		
65111	Licensing of rights for commercial use of non-financial intangible assets (except products protected by copyright)		
661	Support and custom work services for agriculture, forestry, hunting and fishing		
66111	Support services for crop production		
66112	Support services for animal production, hunting and fishing		
66113	Support services for forestry		
66114	Custom work services for forestry		
671	Mining and oil and gas support services		
67111	Support services for oil and gas extraction (except oil and gas exploration)		
67112	Support services for mining and quarrying (except mineral exploration)		
672	Construction services		
67211	Construction services		
681	Manufacturing services		
68111	Fabric weaving and finishing services		
68121	Printing support services		
68122	Contract printing services		
68131	Coating, engraving, heat treating and similar metal processing services		
68141	Custom manufacturing services (except printing, finishing of textiles and metals)		
711	Advertising space and time		
71111	Advertising space in printed newspapers		
71112	Advertising space in printed periodicals and in other printed publications		
71121	Advertising air time on radio		
71122	Advertising air time on television		
71131	Internet advertising		
712	Advertising, public relations, and related services		
71211	Exclusive advertising rights, endorsements, and display advertising		
71221	Advertising intermediary services		
71231	Direct advertising services		
71241	Full advertising campaigns, advertising creative and public relations services		
721	Audio and video production services		
72111	Audio recording services and copyright administration		
