code	name	action	object
72121	Movie, television program and video production, post-production and editing services		
722	Licensing of rights for commercial use of products protected by copyright (except software)		
72211	Licensing of rights for commercial use of literary works (except software) and artistic works		
72212	Licensing of rights for commercial use of musical works and sound recordings		
72213	Licensing of rights for commercial use of dramatic works, and other copyrighted property n.e.c.		
72221	Sporting event media rights		
72231	Fees for the distribution of television and radio program channels (affiliation payments)		
723	Telecommunications, broadcasting distribution and related services		
72331	Wholesale telecommunications services (carrier services)		
72332	Retail telecommunication services		
72341	Broadcasting and online games distribution services		
751	Other information technology (IT) and information services		
75111	Data processing, hosting, and related services		
75121	Other information services		
761	Financial services (except insurance)		
76111	Financial system regulatory services		
76121	Account and cash management products		
76131	Loans		
76141	Credit financing (except loans)		
76151	Other credit financing products		
76161	Investment products		
76171	Personal trust and financial planning services		
76172	Trust and financial planning services for businesses, institutions, and government		
76181	Products supporting financial services		
762	Pension and life insurance products		
76211	Pension and annuity products		
76212	Life insurance products		
763	Other insurance services		
76311	Health and accident insurance products		
76312	Vehicle insurance products		
76313	Property insurance products (except vehicle)		
76314	Other non-life insurance products		
76321	Reinsurance products		
76331	Insurance brokerage and other services related to insurance		
764	Real estate services		
76411	Residential rents		
76412	Rooming and boarding services		
76421	Non-residential rents		
76432	Real estate brokerage and other services related to real estate		
771	Legal and accounting services		
77111	Legal services		
77121	Accounting, tax preparation, bookkeeping and payroll services		
772	Architectural, engineering and related services		
77211	Architectural services		
77221	Engineering services		
77231	Services related to architecture and engineering (except surveying and mapping)		
77241	Surveying and mapping services		
773	Specialized design services		
77311	Specialized design services		
774	Computer systems design and related services (except software development)		
77411	Computer systems design and related services (except software development)		
775	Management, scientific and technical consulting services		
77511	Management consulting services		
77512	Environmental consulting services		
77513	Other economic, scientific and technical consulting services		
776	Other professional services		
77611	Photographic services		
77612	Veterinary services		
77613	Other professional, scientific and technical services		
781	Administrative and support services		
78111	Office administrative services		
78112	Employment services		
78113	Business support services		
78121	Security and investigation services		
78122	Cleaning services for buildings and dwellings		
78123	Other services for buildings and dwellings		
78124	Facilities and other support services		
782	Water, sewer and waste management services		
