code	name	action	object
78211	Water delivered by water works and irrigation systems		
78221	Sewage and dirty water disposal and cleaning services		
78231	Waste management and remediation services		
811	Health services		
81111	Physician services		
81112	Other health practitioner services (except physician and dental services)		
81121	Dental services		
81131	Medical laboratory diagnostic and testing services		
81141	Hospital services		
81151	Ambulance services		
81161	Other health care services		
812	Residential and nursing care, social assistance, and child day-care services		
81211	Residential and nursing care services		
81221	Social assistance services		
81231	Child day-care services		
821	Education services		
82111	Basic education and skills programs		
82112	Trade, career, technical and professional development training programs		
82113	Higher career, technical, academic and advanced research qualification programs		
82121	Leisure and recreational instructional programs		
82131	Educational support and sports coaching services		
831	Sport and live performance services		
83111	Contract production of live performing arts performances, live sporting events, and copyrighted works		
83121	Sport and performing arts event organization services		
83131	Career management and representation services of artists, athletes, entertainers and other public figures		
832	Admissions to events, performances, exhibitions, and recreational and heritage institution services		
83211	Admissions to live sporting events		
83221	Admissions to live performing arts performances		
83231	Admissions to motion picture film exhibitions		
83241	Amusement and recreational services (except live events and heritage institution services)		
83251	Heritage institution services		
833	Gambling (net wagers)		
83311	Gambling (net wagers)		
841	Prepared meals and beverages		
84111	Prepared meals		
84112	Alcoholic beverages for immediate consumption		
842	Traveller accommodation		
84211	Room or unit accommodation services for travellers		
84212	Recreational vehicle park and recreational camp services		
843	Travel arrangement, reservation and planning services		
84311	Travel arrangement, reservation and planning services		
851	Personal and personal care services		
85111	Hair care and aesthetic services		
85121	Funeral services		
85131	Laundry, dry-cleaning and related services		
85141	Parking services		
85151	Other personal and personal care services		
852	Babysitting and other private household services		
85211	Babysitting services		
85212	Private household services (except babysitting)		
861	Membership organization services		
86111	Labour organization services		
86121	Political organization services		
86131	Religious organization services		
86141	Other membership organization services		
871	Public administration services		
87111	Federal government public administration services		
87121	Provincial and territorial public administration services		
87131	Municipal and other local public administration services		
87141	Indigenous public administration services		
87151	International and other extra-territorial public administration services		
